feature,permutation_importance
Glucose,0.0758064516129032
BMI,0.06129032258064513
DiabetesPedigreeFunction,0.0129032258064516
SkinThickness,0.011290322580645152
Insulin,0.011290322580645152
Pregnancies,-0.006451612903225812
Age,-0.009677419354838701
BloodPressure,-0.030645161290322586
